节点 | 掩码包围盒(像素) | bbox_2d(场景图) | 差(左,上,右,下)
sofa_1         | (287, 216, 632, 341)       | [286.3, 215.2, 632.2, 363.7]   | [0.7, 0.8, -0.2, -22.7]
picture_1      | (426, 48, 566, 172)        | [425.0, 46.6, 566.7, 173.0]    | [1.0, 1.4, -0.7, -1.0]
mirror_1       | (227, 27, 342, 197)        | [226.5, 25.8, 341.9, 197.2]    | [0.5, 1.2, 0.1, -0.2]
chair_1        | (7, 350, 234, 474)         | [6.7, 346.7, 235.0, 474.9]     | [0.3, 3.3, -1.0, -0.9]
picture_2      | (157, 99, 191, 130)        | [157.0, 98.7, 190.4, 127.8]    | [0.0, 0.3, 0.6, 2.2]
picture_3      | (160, 129, 193, 158)       | [160.4, 129.5, 192.6, 157.3]   | [-0.4, -0.5, 0.4, 0.7]
sofa_chair_1   | (7, 233, 237, 402)         | [6.8, 231.8, 237.0, 403.7]     | [0.2, 1.2, 0.0, -1.7]
table_1        | (351, 336, 632, 474)       | [359.2, 334.0, 632.9, 478.8]   | [-8.2, 2.0, -0.9, -4.8]
picture_4      | (69, 127, 94, 165)         | [71.1, 127.4, 93.2, 165.0]     | [-2.1, -0.4, 0.8, 0.0]

原图尺寸 = (640, 480)   （掩码尺寸 = 640x480）

节点 | 掩码像素数 | 框面积 | 覆盖率 | scene 记录的 n_points
sofa_1         | 23841      | 51372      | 0.464 | 23841
picture_1      | 16137      | 17898      | 0.902 | 16137
mirror_1       | 18015      | 19774      | 0.911 | 18015
chair_1        | 18785      | 29266      | 0.642 | 18785
picture_2      | 965        | 971        | 0.994 | 965
picture_3      | 893        | 895        | 0.998 | 893
sofa_chair_1   | 29108      | 39597      | 0.735 | 29108
table_1        | 30660      | 39606      | 0.774 | 30660
picture_4      | 809        | 832        | 0.973 | 809
